Well ID,WellName,ENVOperator,County,ENVInterval,CompletionDate,LL,Total Fluid,Total Proppant,Well Spacing,"Fluid, bbl/ft","Proppant, lb/ft",ppg,Oil EUR,Gas EUR,"Isopach, ft",Eff Porosity,Sw,TVD,FVF
42-329424910000,CUNNINGHAM 37G 7H,PIONEER,MIDLAND,WOLFCAMP A,4/9/2019,9722,456083,16666525,,46.9,1714,0.9,629,2306,349.2,0.069,0.142123776,9136.7,1.5
42-329425150000,TXL-SHACKELFORD 37K 11H,PIONEER,MIDLAND,WOLFCAMP B,4/18/2019,9782,420479,23626869,,43,2415,1.3,375,1458,231.3,0.059,0.338462826,9526.2,1.5
42-317415630000,SCHARBAUER 107HA,"VENCER ENERGY, LLC",MARTIN,WOLFCAMP A,8/23/2019,10602,401283,16487431,,37.8,1555,1,339,525,218.4,0.054,0.128129993,9623.5,2
42-329425860000,LHS RANCH ALLOCATION 4505 4505BH,EXXON,MIDLAND,WOLFCAMP B,12/27/2018,10281,570168,16463465,,55.5,1601,0.7,365,5314,278.1,0.076,0.318275378,9439.1,1.5
42-227396430000,MIKE THE TIGER 18-7 A 1WA,BIRCH OPERATIONS,HOWARD,WOLFCAMP A,3/8/2019,7674,401804,19607720,,52.4,2555,1.2,320,1187,336.3,0.065,0.425332441,8117.6,1.6
42-461409330000,DAVIDSON 37G 6HF,OVINTIV,UPTON,LOWER SPRABERRY,1/9/2019,8794,0,28434688,,,,,259,329,475.6,0.067,0.12817187,9025.9,1.5
42-329427290000,SHACKELFORD E10B 102H,PIONEER,MIDLAND,WOLFCAMP B,7/18/2019,9872,513086,16931456,,52,1715,0.8,349,7207,146.8,0.06,0.374855957,9515.6,1.5
42-173379580000,AUGUST 27-22-H 4815H,PIONEER,GLASSCOCK,WOLFCAMP C,4/9/2019,9580,409639,17482933,,42.8,1825,1,571,2843,799.3,0.066,0.603972474,9111.8,1.6
42-317417850000,INTEGRITY 1LB,DIAMONDBACK,MARTIN,WOLFCAMP B,5/8/2019,6514,472755,19841142,,72.6,3046,1,377,205,179.9,0.073,0.192001476,9851.4,1.6
42-383404080000,SUGG B 163-162 (ALLOC-G) 7NM,LAREDO,REAGAN,WOLFCAMP B,3/24/2019,9936,534593,14007637,,53.8,1410,0.6,252,2049,295,0.061,0.25571012,7827.4,1.5
42-461409840000,GRIMES A 19-18 4201H,PIONEER,UPTON,WOLFCAMP A,5/30/2019,7045,346611,14426059,,49.2,2048,1,484,1230,345.2,0.08,0.042481459,8862.5,1.5
42-329428940000,TXL 20 UNIT 1 / UNIT 2 2914AH,EXXON,MIDLAND,WOLFCAMP A,6/29/2019,10354,591654,0,,57.1,0,0,576,3438,357.6,0.08,0.088106557,9429.4,1.5
42-227398260000,HAMLIN UNIT 15-22 1SH,SURGE OPERATING,HOWARD,LOWER SPRABERRY,6/24/2019,6557,220747,12701515,,33.7,1937,1.4,216,704,346.3,0.078,0.2279596,7584.5,1.6
42-317419280000,STRAIN 20 UNIT 1 2004BH,EXXON,MARTIN,WOLFCAMP B,9/23/2019,10354,0,0,,,,,341,2869,216.4,0.07,0.350949071,8855,1.6
42-227398760000,BLACK PEARL 11-14 UNIT 1 211,ENDEAVOR,HOWARD,WOLFCAMP A,7/1/2019,7080,286255,11302547,,40.4,1596,0.9,378,1249,337.1,0.064,0.309909405,8196.5,1.6
42-317419930000,MARYRUTH-ANDERSON 47D 104H,PIONEER,MARTIN,WOLFCAMP A,10/30/2019,10172,539795,17296408,,53.1,1700,0.8,702,885,282.4,0.07,0.181465833,8270,1.6
42-173380820000,HORN-BOOKS 30 103HB,"VENCER ENERGY, LLC",GLASSCOCK,WOLFCAMP A,1/23/2020,9696,464231,15082330,,47.9,1556,0.8,298,731,422,0.064,0.140063107,8380.5,1.6
42-173380880000,HORN-BOOKS 40 204HL,"VENCER ENERGY, LLC",GLASSCOCK,LOWER SPRABERRY,1/19/2020,9600,501824,15156634,,52.3,1579,0.7,406,1502,340.6,0.059,0.290840038,7796.3,1.6
42-227400000000,GETLO 25-36 2AH,LAREDO,HOWARD,WOLFCAMP A,8/16/2019,9811,583474,18482075,,59.5,1884,0.8,347,121,238,0.088,0.18854552,7824.6,1.6
42-173380920000,FRYSAK A 47-15 (ALLOC-D) 4SM,LAREDO,GLASSCOCK,WOLFCAMP B,7/1/2019,9757,1061855,35794200,,108.8,3669,0.8,181,7914,385.1,0.06,0.258617261,8168,1.6
42-317420000000,PYKE UNIT 1 0312AH,EXXON,MARTIN,WOLFCAMP A,11/1/2019,10221,579156,17406760,,56.7,1703,0.7,955,2353,252.1,0.07,0.185234346,8849.5,1.6
42-317421040000,CYPERT 57-51 UNIT 2 173,ENDEAVOR,MARTIN,LOWER SPRABERRY,10/11/2019,9496,423077,15628303,,44.6,1646,0.9,127,343,366.3,0.062,0.19197225,7999.8,1.6
42-317421590000,UL 0312 W1 10SC,DIAMONDBACK,MARTIN,LOWER SPRABERRY,2/13/2020,9691,269348,15051909,,27.8,1553,1.3,547,892,351.2,0.068,0.167312833,9545.4,1.6
42-317420670000,BRADLEY 2 102,LARIO OIL & GAS,MARTIN,WOLFCAMP A,11/10/2019,9673,475906,18431657,,49.2,1905,0.9,524,730,271.6,0.069,0.272753425,8880.7,1.6
42-329432240000,RIO NUECES 37-44 UNIT 1 231,ENDEAVOR,MIDLAND,WOLFCAMP A,11/15/2019,10043,466736,16076798,,46.5,1601,0.8,568,,320.5,0.059,0.133388877,9331.9,1.5
42-461411460000,MORGAN 25-26B-E 4209H,PIONEER,UPTON,WOLFCAMP A,2/16/2020,9896,463726,18949888,,46.9,1915,1,426,,392.9,0.072,0.05456295,9047.4,1.4
42-173381340000,ZANT HURT 3803BH,EXXON,GLASSCOCK,WOLFCAMP A,3/3/2020,10486,580755,0,,55.4,0,0,388,3135,361.7,0.066,0.137973786,8725.1,1.6
42-317422190000,VLT MAUSER MAGNUM UNIT 0041WA,CHEVRON,MARTIN,WOLFCAMP A,4/21/2020,10280,489111,20441241,,47.6,1988,1,726,261,280.8,0.07,0.18424844,8752.5,1.6
42-173381590000,CURRIE 41-29-H 4215H,PIONEER,GLASSCOCK,WOLFCAMP A,11/8/2019,12981,648034,25025137,,49.9,1928,0.9,844,2315,457.7,0.065,0.127119073,8131.4,1.6
42-329433890000,ARICK-HOOPER UNIT 6H,PIONEER,MIDLAND,WOLFCAMP A,5/15/2020,9422,437987,18893471,,46.5,2005,1,,,283.7,0.071,0.09905263,9449.3,1.5
42-227401760000,TREE FROG 47 WEST UNIT 5LS,DIAMONDBACK,HOWARD,LOWER SPRABERRY,12/20/2019,10328,0,0,,,,,1148,945,372,0.055,0.167495606,8060.8,1.6
42-329434150000,WTH 21-16 A 212R,ENDEAVOR,MIDLAND,WOLFCAMP A,11/3/2019,9832,471753,15869220,,48,1614,0.8,953,2511,258,0.073,0.154557223,8785.1,1.5
42-003481010000,UL 1125 E6 05SB,DIAMONDBACK,ANDREWS,LOWER SPRABERRY,5/13/2020,9844,250855,14785024,,25.5,1502,1.4,,,341.1,0.065,0.175081946,9442.7,1.6
42-329433260000,BOONE-DIXON W42I 9H,PIONEER,MIDLAND,WOLFCAMP A,1/14/2020,11372,483945,19383560,,42.6,1704,1,950,,339.9,0.08,0.121986387,8696.9,1.5
42-329434730000,TURNER W43 13H,PIONEER,MIDLAND,WOLFCAMP A,1/4/2021,10321,493832,17608070,,47.8,1706,0.9,,,331.6,0.064,0.125414849,9008.1,1.5
42-227401970000,SUNRISE STUDLEY 29-17 F 8WB,BIRCH OPERATIONS,HOWARD,WOLFCAMP B,7/8/2020,12754,516894,23789581,,40.5,1865,1.1,,,152.2,0.066,0.211764986,8152.5,1.6
42-329435710000,MANOR PARK EAST UNIT 7H,FASKEN OIL AND RANCH,MIDLAND,MIDDLE SPRABERRY,9/4/2020,9901,476354,14587195,,48.1,1473,0.7,,,271.2,0.082,0.089282891,8500.1,1.5
42-317424540000,DARK STAR UNIT 1 2111AH,EXXON,MARTIN,WOLFCAMP A,5/4/2021,10409,442984,17959062,,42.6,1725,1,,,276.2,0.06,0.189214895,8566.2,1.7
42-173381880000,COOK E20K 11H,LAREDO,GLASSCOCK,LOWER SPRABERRY,5/4/2020,9936,565023,23762388,,56.9,2392,1,,,286.7,0.049,0.248091187,7826.8,1.6
42-173381900000,COOK E20M 13H,LAREDO,GLASSCOCK,WOLFCAMP A,5/10/2020,9847,570151,23766098,,57.9,2414,1,,,385.2,0.06,0.11893821,8267.8,1.6
42-329436380000,JOHN BRAUN B UNIT 2 4126SH,EXXON,MIDLAND,LOWER SPRABERRY,1/10/2021,13026,1385695,49927641,,106.4,3833,0.9,,,458.5,0.06,0.222572964,8918,1.5
42-227403410000,SANTANA 2440WA 1H,OCCIDENTAL,HOWARD,WOLFCAMP A,5/6/2020,11506,365315,18065690,,31.7,1570,1.2,,,298.8,0.07,0.066754691,8046.2,1.6
42-227403480000,SANTANA 2918SA 1H,OCCIDENTAL,HOWARD,LOWER SPRABERRY,5/1/2020,12599,453033,0,,36,0,0,,,492.4,0.068,0.240124774,7258.5,1.6
42-383407530000,HAIL TAP ROCK 1H,HIBERNIA RESOURCES III,REAGAN,WOLFCAMP B,12/29/2019,5101,383613,12430540,,75.2,2437,0.8,130,1539,304,0.064,0.30405927,8359,1.5
42-317425830000,HSC 320X 1303HE,OVINTIV,MARTIN,LOWER SPRABERRY,2/25/2020,8158,398341,14424977,,48.8,1768,0.9,328,1060,410.9,0.084,0.197244994,9182.1,1.7
42-227404020000,GRANT 18B 6HK,OVINTIV,HOWARD,WOLFCAMP A,2/8/2020,11417,768564,24536717,,67.3,2149,0.8,312,1366,353.9,0.062,0.186738547,7822,1.6
42-329437820000,RIO LLANO 11-10 E 152,ENDEAVOR,MIDLAND,LOWER SPRABERRY,10/24/2020,10268,527455,20703391,,51.4,2016,0.9,,,448.1,0.056,0.15819408,9123.7,1.5
42-383407900000,DRIVER 27 13H,PIONEER,REAGAN,WOLFCAMP B,3/25/2021,10022,496437,17100588,,49.5,1706,0.8,,,260.9,0.089,0.509393843,8908.8,1.5
42-383408000000,ADAMS WEST E 23-26 4205H,PIONEER,REAGAN,WOLFCAMP A,7/30/2020,7761,376157,15596277,,48.5,2010,1,,,344.8,0.068,0.07793038,8563.2,1.5
42-383408080000,HARTGROVE 0304 A 1HU,APACHE,REAGAN,WOLFCAMP B,4/12/2021,9859,560236,19190909,,56.8,1947,0.8,,,353,0.075,0.31082867,8440.7,1.5
42-227404080000,KRAKEN 10-3 UNIT 1 211,ENDEAVOR,HOWARD,WOLFCAMP A,11/18/2020,9817,432770,15843299,,44.1,1614,0.9,,,256,0.065,0.145826344,8299.3,1.6
42-329438640000,PEGASUS SPRABERRY UNIT 1004MH,CONOCOPHILLIPS,MIDLAND,MIDDLE SPRABERRY,4/17/2020,9043,407895,36194475,,45.1,4002,2.1,535,231,304.9,0.062,0.175178772,8144.7,1.5
42-227404320000,GARRETT-SNELL UNIT A 25-36 4AH,SURGE OPERATING,HOWARD,WOLFCAMP A,7/26/2020,9350,309643,18936505,,33.1,2025,1.5,,,350.8,0.088,0.15768749,7795.1,1.6
42-317427330000,KATHRYN IDA UNIT WEST 203WB,DIAMONDBACK,MARTIN,WOLFCAMP B,4/8/2021,11404,0,0,,,,,,,180.2,0.078,0.210390693,9875,1.7
42-461413860000,MELINDA 256JM,HENRY RESOURCES LLC,UPTON,LOWER SPRABERRY,8/25/2020,5086,297009,12736242,,58.4,2504,1,,,524.4,0.056,0.152889874,8636.3,1.4
42-317427430000,STRAIN RANCH 12-1-B 2703VH,PIONEER,MARTIN,LOWER SPRABERRY,1/21/2021,10300,466265,19851823,,45.3,1927,1,,,354.6,0.055,0.237225406,8279,1.7
42-173382810000,FOWLER-SMITH 12-7 2807H,PIONEER,GLASSCOCK,LOWER SPRABERRY,11/20/2020,7327,361337,14722858,,49.3,2009,1,,,443.1,0.06,0.272392351,8115.8,1.6
42-383408360000,BRUT O 15-16 4315H,PIONEER,REAGAN,WOLFCAMP B,9/16/2020,10437,498438,21033276,,47.8,2015,1,,,308.6,0.072,0.246535297,8188.5,1.5
42-329439620000,ATKINS 47-02 UNIT 1 0201BH,EXXON,MIDLAND,WOLFCAMP B,3/17/2021,10322,397153,17653259,,38.5,1710,1.1,,,196.1,0.075,0.323852162,9681.2,1.5
42-227405180000,GRATIS F 101JM,CROWNQUEST,HOWARD,LOWER SPRABERRY,12/15/2020,10080,426449,20658588,,42.3,2049,1.2,,,457.6,0.069,0.230781131,7522.1,1.6
42-329439870000,ATKINS 47-02 UNIT 2 0276JH,EXXON,MIDLAND,LOWER SPRABERRY,2/9/2021,10304,353676,17529948,,34.3,1701,1.2,,,473.7,0.056,0.123278176,8411.7,1.5
42-329440080000,ATKINS 47-02 UNIT 1 0212AH,EXXON,MIDLAND,WOLFCAMP A,3/5/2021,10344,610208,25923576,,59,2506,1,,,383.4,0.072,0.065590669,9394.2,1.5
42-317408950100,SPACKLER 3325LS,SM ENERGY,MARTIN,LOWER SPRABERRY,4/6/2018,10367,594445,19400115,,57.3,1871,0.8,416,474,407.5,0.058,0.16948426,8190.4,2
42-329419270100,LYNCH A HZ 38HS,APACHE,MIDLAND,MIDDLE SPRABERRY,4/16/2018,7717,475569,16457359,,61.6,2133,0.8,24,79,321.9,0.08,0.113874779,8269.4,1.5
42-461414350000,SEBASTIAN 19-18-B 4104H,PIONEER,UPTON,WOLFCAMP A,3/4/2021,7311,343645,14071817,,47,1925,1,,,336.7,0.08,0.054803761,9080.9,1.4
42-461414480000,DAVIDSON UNIT 2 3603BH,EXXON,UPTON,WOLFCAMP B,4/2/2021,10342,398532,17633322,,38.5,1705,1.1,,,212.9,0.077,0.171279277,9832.1,1.4
42-383408510000,JAMES H 45-50 4408H,PIONEER,REAGAN,WOLFCAMP B,10/23/2020,9876,680484,29725687,,68.9,3010,1,,,283.8,0.066,0.243687074,9141.7,1.5
42-317429030000,HAMMITT-WHEELER 8I 9H,PIONEER,MARTIN,JO MILL,1/22/2021,10330,383488,14582762,,37.1,1412,0.9,,,355,0.078,0.535390783,8322.1,1.7
42-329441150000,JW A 440LS,DISCOVERY,MIDLAND,LOWER SPRABERRY,12/17/2020,9849,462010,18957788,,46.9,1925,1,,,395.4,0.049,0.169763351,8919.9,1.5
42-227406650000,GRANGER 5C 4HK,OVINTIV,HOWARD,WOLFCAMP A,8/31/2020,9696,474268,17166912,,48.9,1771,0.9,,,294.7,0.053,0.092209008,7610.7,1.4
42-317430820000,JIM TOM 30B 2H,PIONEER,MARTIN,WOLFCAMP A,2/28/2021,10021,505233,17101239,,50.4,1707,0.8,,,230.6,0.077,0.132855638,8607.4,1.7
42-317430790000,DFK 319C 1502HE,OVINTIV,MARTIN,LOWER SPRABERRY,10/30/2020,10882,542133,1904739,,49.8,175,0.1,,,369.7,0.053,0.222666324,9257.2,1.7
42-317431030000,TOM-CLINE 30C 3H,PIONEER,MARTIN,WOLFCAMP A,3/5/2021,10052,502512,17134322,,50,1705,0.8,,,229.4,0.076,0.128053661,8606.4,1.7
42-317431260000,WOODY 38B 2H,PIONEER,MARTIN,WOLFCAMP A,5/23/2021,7636,291659,13003863,,38.2,1703,1.1,,,225.8,0.054,0.165786649,9258.8,1.7
42-003481810000,MABEE DDA H6 3112SH,CONOCOPHILLIPS,ANDREWS,LOWER SPRABERRY,9/9/2020,13552,0,0,,,,,,,362.5,0.059,0.197171563,9214.9,1.6
42-227408540000,CARPENTER 11-31 A UNIT A 2H,HIGHPEAK ENERGY HOLDINGS,HOWARD,WOLFCAMP A,4/16/2021,13211,547740,29548013,,41.5,2237,1.3,,,413.7,0.057,0.619535793,6257.7,1.4
42-173383900000,HOUSTON RANCH UNIT 2 3683NH,EXXON,GLASSCOCK,WOLFCAMP A,6/3/2021,10349,716497,28839182,,69.2,2787,1,,,367.8,0.057,0.140249568,9912,1.6
42-173351800000,GLASS 15-10 (ALLOC-B) 2NU,LAREDO,GLASSCOCK,WOLFCAMP A,11/9/2012,6920,222488,7896164,,32.2,1141,0.9,242,1686,347,0.056,0.129765517,7268.5,1.6
42-003473390000,MABEE 240C X6 144LH,CONOCOPHILLIPS,ANDREWS,LOWER SPRABERRY,5/6/2016,7569,436887,13570025,,57.7,1793,0.7,,,422.7,0.051,0.167159772,9560.5,
42-461387820000,DHC 13 UNIT 32H,TRP OPERATING,UPTON,WOLFCAMP B,9/5/2013,4947,158046,8394758,,31.9,1697,1.3,140,1038,282.3,0.061,0.296906362,8900.3,1.5
42-461394280000,AMACKER48 UNIT 19H,CONOCOPHILLIPS,UPTON,WOLFCAMP B,11/16/2014,5058,223130,8710581,,44.1,1722,0.9,214,1046,185.2,0.024,0.214160298,9357.5,1.5
42-383387180000,"UNIVERSITY ""2-20"" 47H",PIONEER,REAGAN,WOLFCAMP B,9/19/2014,7767,195066,8636311,,25.1,1112,1.1,600,,292.6,0.07,0.221393137,8574.1,1.5
42-383398350000,UNIVERSITY 11 RE 936HS,FDL,REAGAN,WOLFCAMP A,6/1/2017,9834,216307,17233357,,22,1752,1.9,,,343,0.057,0.203771431,7039,1.5
42-227391180000,WRIGHT UNIT 29-20 6SH,CALLON,HOWARD,LOWER SPRABERRY,8/30/2017,9569,485666,14471520,,50.8,1512,0.7,90,381,356.3,0.058,0.207915554,7905.2,1.6
42-383398790000,DEVIN 25-24 4401H,PIONEER,REAGAN,WOLFCAMP B,11/27/2018,10108,417509,19583316,,41.3,1937,1.1,201,3777,300.6,0.065,0.46499968,8753.9,1.5
42-173376210000,CALVERLEY 36B-25A-A 4801H,PIONEER,GLASSCOCK,WOLFCAMP C,7/19/2018,9895,545723,16014680,,55.2,1618,0.7,411,1351,623.6,0.049,0.552923257,9170.2,1.6
42-329417620000,MISSOULA UNIT 806WB,DIAMONDBACK,MIDLAND,JO MILL,7/28/2018,13005,21466,0,,1.7,0,0,801,2234,382.5,0.066,0.443231468,9739.7,1.5
42-383399200000,LANE TR E 43-42 (ALLOC-F) 6NM,LAREDO,REAGAN,WOLFCAMP B,11/19/2017,8160,455993,14530948,,55.9,1781,0.8,206,2229,251,0.071,0.29595972,8220.6,1.5
42-329418710000,WARFIELD EAST C 103LS,DIAMONDBACK,MIDLAND,LOWER SPRABERRY,6/5/2018,10358,375208,0,,36.2,0,0,564,907,351.1,0.057,0.165870718,9274.6,1.5
42-329418900000,GBG 41/38 UNIT 0033WB,CHEVRON,MIDLAND,WOLFCAMP B,6/23/2018,9975,614985,16749759,,61.7,1679,0.7,653,1012,177.7,0.06,0.07323526,9601.3,1.5
42-329419370000,HOGAN 1-13-D 2808H,PIONEER,MIDLAND,LOWER SPRABERRY,1/15/2020,7199,364700,14005779,,50.7,1946,0.9,147,257,401.2,0.059,0.235419484,9030.6,1.5
42-329419430000,MIDLAND 'AC/AF' FEE 11 0161LS,CHEVRON,MIDLAND,LOWER SPRABERRY,5/1/2018,9938,0,0,,,,,687,1196,455.7,0.05,0.176890739,8991.8,1.5
42-329419500000,HOGAN 1-25B 4203H,PIONEER,MIDLAND,WOLFCAMP A,5/21/2019,15778,656572,29536582,,41.6,1872,1.1,750,1784,233.4,0.068,0.095506738,9518,1.5
42-461407120000,RAY REED 32 117H,PIONEER,UPTON,WOLFCAMP B,5/17/2019,12782,923062,21962234,,72.2,1718,0.6,1051,1727,448.6,0.081,0.35214669,9579.9,1.5
42-461406780000,LHS RANCH 4-40 ALLOC 4004 4004BH,EXXON,UPTON,WOLFCAMP B,8/10/2018,15524,963049,26480637,,62,1706,0.7,478,1825,396.3,0.067,0.479928356,9587.3,1.5
42-317411540000,POE D 16BU,DIAMONDBACK,MARTIN,WOLFCAMP A,6/16/2018,7455,251460,13532495,,33.7,1815,1.3,202,216,240.3,0.061,0.236528795,9523.5,2
42-329421270000,WINDHAM 33X 10HF,OVINTIV,MIDLAND,LOWER SPRABERRY,6/6/2018,9253,0,17898991,,,,,937,1897,435.3,0.065,0.156272493,9138.9,1.5
42-317411600000,EISENHOWER 202,LARIO OIL & GAS,MARTIN,WOLFCAMP C,6/9/2018,7280,399046,14298560,,54.8,1964,0.9,425,551,495.4,0.057,0.646841531,9927.8,2
42-227394570000,LILLY 49 UNIT 2LS,DIAMONDBACK,HOWARD,LOWER SPRABERRY,9/21/2018,10323,463402,17817042,,44.9,1726,0.9,770,1970,366.7,0.061,0.225736438,7875.5,1.6
42-383401640000,CHICO EAST 2-28 ALLOC 02 206HS,FDL,REAGAN,WOLFCAMP A,8/13/2018,10549,235087,16753634,,22.3,1588,1.7,381,,304,0.068,0.19687618,6856.9,1.5
42-329423910000,LUCY G 36-25 271,ENDEAVOR,MIDLAND,WOLFCAMP B,8/9/2018,9938,444931,15869353,,44.8,1597,0.9,512,679,181.4,0.069,0.549663376,9551.8,1.5
42-329424120000,REBEL H115UX,PERMIAN DEEP ROCK OIL,MIDLAND,WOLFCAMP C,10/5/2018,7337,372411,14856311,,50.8,2025,1,578,946,347.7,0.064,0.601429907,10269.7,1.5
42-329424220000,MARION V. BENGE ESTATE A1 2501LH,CONOCOPHILLIPS,MIDLAND,LOWER SPRABERRY,5/8/2019,10395,550092,22936075,,52.9,2206,1,826,1418,438.7,0.057,0.156406158,9120.2,1.5
42-383401580000,GREG MADDUX 31-32-D 4407H,PIONEER,REAGAN,WOLFCAMP B,12/13/2018,7721,313340,15013577,,40.6,1945,1.1,489,2115,277.1,0.064,0.457116031,8563.2,1.5
42-329424880000,RIO FRIO 25-32 UNIT 1 221R,ENDEAVOR,MIDLAND,WOLFCAMP A,8/19/2018,7652,344568,12239117,,45,1599,0.9,831,,325.3,0.061,0.135058612,9492.7,1.5
42-329423880000,CLARK 6 103,LARIO OIL & GAS,MIDLAND,WOLFCAMP B,2/27/2019,9882,520405,18132070,,52.7,1835,0.8,477,2673,119.3,0.067,0.38267087,9406.1,1.5
42-173378870000,KOONCE NORTH 39-34 UNIT 1A 213,ENDEAVOR,GLASSCOCK,WOLFCAMP B,11/13/2018,9960,462274,15809861,,46.4,1587,0.8,334,228,296.6,0.062,0.407444453,8797.1,1.6
42-317415150000,MERRICK UNIT 2 1107BH,EXXON,MARTIN,WOLFCAMP B,4/23/2019,10104,123059,16737929,,12.2,1657,3.2,267,2794,224.6,0.088,0.322187229,8982.9,2
42-317415900000,HNE 249O 1204HE,OVINTIV,MARTIN,LOWER SPRABERRY,11/22/2018,8050,374345,15338617,,46.5,1905,1,400,833,388.5,0.072,0.192367512,9205,2
42-227396610000,MIKE THE TIGER 18-7 F 7WB,BIRCH OPERATIONS,HOWARD,WOLFCAMP B,3/23/2019,7704,448928,18717950,,58.3,2430,1,283,825,160.5,0.061,0.189761555,8383.8,1.6
42-317416810000,SCHARBAUER RANCH 1202H,PIONEER,MARTIN,MIDDLE SPRABERRY,2/12/2019,8087,416764,11753205,,51.5,1453,0.7,427,507,256.2,0.06,0.088342974,8680.7,1.6
42-173379500000,HUTCHISON-TEELE 20 202HL,"VENCER ENERGY, LLC",GLASSCOCK,LOWER SPRABERRY,7/13/2019,10144,518175,15700170,,51.1,1548,0.7,123,729,353.8,0.061,0.223562399,8229.4,1.6
42-317417280000,VISERION UNIT 1 4723SH,EXXON,MARTIN,LOWER SPRABERRY,6/7/2019,10288,665248,17649976,,64.7,1716,0.6,280,726,391.3,0.056,0.221658862,8463.2,1.6
42-173379860000,TETRIS SN 1-48 D 104WA,DIAMONDBACK,GLASSCOCK,WOLFCAMP A,8/20/2019,10614,414164,0,,39,0,0,434,1097,233.9,0.066,0.130012574,7989.8,1.6
42-317417890000,STRAIN 20 UNIT 2 2017AH,EXXON,MARTIN,WOLFCAMP A,9/18/2019,10354,630534,17345602,,60.9,1675,0.7,118,234,275.5,0.06,0.187380835,8591,1.6
42-227398200000,JESSUP 1944WA,SM ENERGY,HOWARD,WOLFCAMP A,4/14/2019,10233,471126,19149643,,46,1871,1,566,433,385.9,0.057,0.21808284,7113.7,1.6
42-227398410000,WAYMORE 18-19-H 4215H,PIONEER,HOWARD,WOLFCAMP A,1/20/2021,7405,391436,16502460,,52.9,2229,1,,,395.1,0.061,0.385810891,7475.9,1.6
42-383404880000,CAUBLE 21-30 221,ENDEAVOR,REAGAN,WOLFCAMP A,5/17/2019,9780,344305,15600993,,35.2,1595,1.1,435,3312,337.6,0.064,0.129255727,8092.7,1.5
42-317418860000,HALL A12 04SC,DIAMONDBACK,MARTIN,LOWER SPRABERRY,8/31/2019,7302,205592,11698875,,28.2,1602,1.4,171,334,441.3,0.048,0.210047756,8902.3,1.6
42-173380310000,YELLOW ROSE 40-2 (ALLOC-F) 6SU,LAREDO,GLASSCOCK,WOLFCAMP A,4/28/2019,11952,641902,21296687,,53.7,1782,0.8,327,2202,329.7,0.065,0.078643134,7841.4,1.6
42-227399060000,GARRETT-SNELL UNIT A 25-36 2AH,SURGE OPERATING,HOWARD,WOLFCAMP A,7/4/2019,9381,346514,20258682,,36.9,2160,1.4,479,797,333.9,0.088,0.146521263,7791.6,1.6
42-461410580000,BROOK D-15E 11H,PIONEER,UPTON,WOLFCAMP A,7/20/2019,9872,472218,19703588,,47.8,1996,1,710,3220,350.7,0.075,0.042059449,8749.7,1.4
42-317419720000,MARGIE 9-4 A (ALLOC-1NH) 12UA,DIAMONDBACK,MARTIN,WOLFCAMP A,10/3/2019,10022,506884,20128700,,50.6,2008,1,692,1839,276.7,0.057,0.179130047,9022.6,1.6
42-173380600000,COLT 45 12LM,CROWNQUEST,GLASSCOCK,LOWER SPRABERRY,10/17/2019,10257,0,0,,,,,83,151,422.4,0.056,0.224799393,7922.4,1.6
42-173380800000,HORN-BOOKS 20 102HA,"VENCER ENERGY, LLC",GLASSCOCK,WOLFCAMP A,1/15/2020,9728,470806,15056010,,48.4,1548,0.8,197,585,427.9,0.064,0.14024744,8166.9,1.6
42-329431060000,LOCKLAR-HILL 26U UNIT 8H,PIONEER,MIDLAND,WOLFCAMP A,10/28/2019,9722,464827,16621834,,47.8,1710,0.9,649,1133,257.7,0.07,0.095114267,9457.6,1.5
42-329431070000,LOCKLAR-HILL 26U UNIT 10H,PIONEER,MIDLAND,WOLFCAMP A,10/18/2019,9722,456612,16644729,,47,1712,0.9,1328,,262.9,0.071,0.09569345,9446.3,1.5
42-173380960000,WOODY 3-46 13H,CONOCOPHILLIPS,GLASSCOCK,WOLFCAMP D,11/18/2019,7716,252262,15220925,,32.7,1973,1.4,450,1853,311.9,0.074,0.512045292,9942.7,1.6
42-329433760000,GBG CERBERUS 34/39 UNIT 0161LS,CHEVRON,MIDLAND,LOWER SPRABERRY,1/14/2020,7591,0,0,,,,,,,364.5,0.046,0.144084124,9072.3,1.5
42-329434630000,RIO SAN MARCOS 36-45 UNIT 1A 135,ENDEAVOR,MIDLAND,LOWER SPRABERRY,2/5/2020,9730,420020,15618755,,43.2,1605,0.9,245,160,515.2,0.051,0.185339596,8525,1.5
42-227402400000,ASRO JR. UNIT R004WA,DIAMONDBACK,HOWARD,WOLFCAMP A,10/24/2019,10349,399101,0,,38.6,0,0,230,1674,349.9,0.065,0.384051132,8084.8,1.6
42-383406960000,UNIVERSITY 2404 EAST A 5HA,APACHE,REAGAN,WOLFCAMP A,4/24/2020,9871,476033,16044240,,48.2,1625,0.8,,,375.2,0.066,0.10985771,7907,1.5
42-317424860000,UL 2539 E2 01SC,DIAMONDBACK,MARTIN,LOWER SPRABERRY,3/10/2021,12580,36538,1681680,,2.9,134,1.1,,,351.1,0.059,0.204647031,9375.5,1.7
42-329436830000,JOHN BRAUN A UNIT 3 1312AH,EXXON,MIDLAND,WOLFCAMP A,9/21/2020,7660,466970,13082836,,61,1708,0.7,,,346.8,0.06,0.092973109,9478.4,1.5
